Cod. Pais de destino;Cod. Cuidad de origen;Cantidad;Valor de Dolares;Valor en pesos
AUS;BOG;10,79;5016,07;19726146,72
AUS;BOG;3650,00;1075,50;4301903,20
AUS;BOG;31800,00;6745,50;26981392,90
AUS;BOG;252980,00;49729,20;198799226,77
AUS;BOG;175,00;917,50;3552055,37
AUS;BOG;31,00;26522,11;103845465,15
AUS;BOG;48,00;7222,00;28476562,66
AUS;BOG;5,00;552,00;2176552,56
AUS;BOG;8,00;860,20;3391794,40
AUS;BOG;23,00;2539,20;10012141,77
AUS;BOG;77,62;697,20;2820327,38
AUS;BOG;22260,00;3339,00;13211621,64
AUS;BOG;28250,00;6807,50;26959593,72
AUS;BOG;440,00;567,60;2245357,48
AUS;BOG;420,00;694,50;2753316,29
AUS;BOG;750,00;1327,50;5251430,70
AUS;BOG;75,00;269,25;1065120,69
AUS;BOG;19800,00;2844,00;11297556,72
AUS;BOG;1800,00;378,00;1495322,64
AUS;BOG;45,00;90,45;357809,34
AUS;BOG;61,20;684,00;2705821,92
AUS;BOG;360,00;61,20;242099,85
AUS;BOG;7150,00;1287,00;5091217,56
AUS;BOG;43500,00;14495,00;57735759,25
AUS;BOG;319070,00;72546,17;288957085,53
AUS;BOG;110846,00;40765,03;159073954,21
AUS;BOG;26500,00;5467,50;21861853,42
AUS;BOG;63500,00;12575,00;50079937,50
AUS;BOG;2448,00;6289,20;24732845,02
AUS;BOG;961,00;6417,50;25392507,30
AUS;BOG;24075,00;5289,75;20642337,94
AUS;BOG;26850,00;5997,00;23883052,50
AUS;BOG;2600,00;840,00;3345300,00
AUS;BOG;800,00;200,00;798176,00
AUS;BOG;300,00;75,00;299316,00
AUS;BOG;28660,00;6893,30;27065101,73
AUS;BOG;131,00;8371,97;33400392,91
AUS;BOG;4000,00;138,33;551874,45
AUS;BOG;168,00;913,47;3512118,59
AUS;BOG;422,00;11356,24;44006500,30
AUS;BOG;25,00;163,75;652134,37
AUS;BOG;303,00;3187,04;12509041,49
AUS;BOG;276,73;329,30;1312366,44
AUS;BOG;1489,00;42292,46;166689269,20
AUS;BOG;22,00;300,77;1199936,95
AUS;BOG;673,00;13946,96;55071854,41
AUS;BOG;4147,00;54351,81;215108573,49
AUS;BOG;310,00;4727,00;18589352,93
AUS;BOG;110,00;625,50;2495463,52
AUS;BOG;120,00;992,80;3960825,24
AUS;BOG;273,00;2988,46;11922610,59
AUT;BOG;324,39;751,30;2992052,25
AUT;BOG;55,61;208,70;831147,75
AUT;BOG;7520,00;1278,40;4949261,68
AUT;BOG;24480,00;4182,20;16191178,19
AUT;BOG;16000,00;2603,20;10302146,81
AUT;BOG;63200,00;10794,20;42766884,89
AZE;BOG;6,00;504,00;2015249,04
AZE;BOG;7,00;2064,00;8252924,64
AZE;BOG;1,00;368,00;1471451,68
AZE;BOG;2,00;736,00;2942903,36
AZE;BOG;2,00;496,00;1983260,96
AZE;BOG;2,00;496,00;1983260,96
AZE;BOG;2,00;392,00;1567415,92
AZE;BOG;2,00;256,00;1023618,56
AZE;BOG;2,00;208,00;831690,08
AZE;BOG;5080,00;3508,98;13881454,92
AZE;BOG;900,00;636,00;2543052,36
AZE;BOG;1776,00;1587,24;6280327,74
AZE;BOG;2532,00;2216,88;8866256,37
AZE;BOG;600,00;204,00;815981,64
AZE;BOG;6800,00;1008,00;4031909,28
AZE;BOG;52300,00;8019,00;32075278,29
AZE;BOG;7200,00;1005,44;4004818,33
AZE;BOG;50900,00;7356,12;29300529,37
BHS;BOG;775,00;202,25;806886,48
BHS;BOG;2,00;365,80;1447382,80
BHS;BOG;222,00;4497,99;17797466,91
BHS;BOG;36,00;1219,68;4825981,03
BHS;BOG;24,00;1339,80;5335753,50
BHS;BOG;12,00;351,12;1398335,40
BHS;BOG;51,00;1335,18;5317354,35
BHS;BOG;80,00;5163,88;20307422,84
BHS;BOG;32,00;1120,00;4404500,80
BHR;BOG;800,00;256,00;1012930,56
BHR;BOG;732,00;401,76;1589667,89
BHR;BOG;180,00;64,80;256398,04
BHR;BOG;30,00;432,00;1709320,32
BHR;BOG;3312,00;2170,50;8680762,81
BHR;BOG;3605,00;2104,90;8397603,79
BHR;BOG;240,00;67,20;268097,76
BHR;BOG;27,00;72,77;289853,82
BHR;BOG;8,00;38,76;154386,89
BHR;BOG;102,50;256,27;1020761,85
BHR;BOG;3,96;21,89;87191,15
BHR;BOG;250,00;45,00;179529,75
BHR;BOG;11000,00;1320,00;5266206,00
BHR;BOG;108,00;108,00;428707,62
BHR;BOG;2930,00;899,90;3586391,95
BHR;BOG;14125,00;3531,25;13826362,18
BHR;BOG;13045,00;2692,00;10763323,16
BHR;BOG;250,00;25,00;98575,75
BHR;BOG;180,00;18,00;70974,54
BHR;BOG;6696,00;4350,10;17152574,80
BHR;BOG;407,00;1504,19;5931066,29
BHR;BOG;28,00;212,00;835922,36
BRB;BOG;1,00;0,01;39,43
BRB;BOG;4,00;517,36;2047069,35
BRB;BOG;16,00;2888,72;11486898,13
BRB;BOG;448,00;32265,98;128355689,18
BRB;BOG;3889,00;61075,98;243153546,15
BRB;BOG;10,00;915,00;3634923,51
BRB;BOG;12,00;1415,68;5626209,14
BRB;BOG;3511,00;47029,79;187326708,02
BRB;BOG;1,23;1018,21;3941949,10
BEL;BOG;544,45;15916,99;62321860,15
BEL;BOG;88,00;2658,66;10589841,57
BEL;BOG;364,00;2458,20;9832578,76
BEL;BOG;320,00;956,00;3823913,96
BEL;BOG;360,00;1080,00;4319902,80
BEL;BOG;433,20;3532,84;14131042,04
BEL;BOG;11880,00;16368,00;64654663,92
BEL;BOG;16350,00;2971,00;11663462,67
BEL;BOG;656,00;5576,00;21438660,56
BEL;BOG;240,00;2040,00;7843412,40
BEL;BOG;41,80;65102,40;260372491,63
BEL;BOG;57,83;5440,00;21668336,00
BEL;BOG;2415,00;150,00;599986,50
BEL;BOG;163,29;6672,62;25654956,10
BEL;BOG;1323,00;7172,79;27578014,71
BEL;BOG;162300,00;52501,00;211222548,21
BEL;BOG;1200,00;15708,00;62823046,44
BEL;BOG;86895,00;17037,60;66961002,87
BLZ;BOG;1,60;216,00;845732,88
BLZ;BOG;929,81;19783,59;77635943,69
BLZ;BOG;10,20;310,00;1213783,30
BMU;BOG;20,00;784,98;3099524,92
BMU;BOG;42,00;2383,16;9410002,58
BMU;BOG;100,00;625,94;2471549,12
BMU;BOG;49,00;2807,90;11087105,46
BMU;BOG;169,00;3366,41;13292404,54
BMU;BOG;2,00;1,80;7107,37
BLR;BOG;3384,00;3370,50;13336259,58
BLR;BOG;26270,00;26324,88;104161232,18
BLR;BOG;69500,00;23706,03;94821986,45
BLR;BOG;7400,00;1417,00;5667872,47
BLR;BOG;38550,00;7553,49;30213280,18
BLR;BOG;7700,00;2833,50;11286255,52
BLR;BOG;3000,00;570,00;2270395,49
BLR;BOG;640,00;235,20;936836,88
BLR;BOG;9600,00;3294,50;13177703,49
BLR;BOG;12800,00;2432,00;9727781,12
BLR;BOG;53250,00;17739,01;70954443,48
BLR;BOG;85150,00;16342,50;65368529,17
